edge_times[0], 0x85FC,
edge_times[1], 0x34F2,
edge_times[2], 0x1980,
edge_times[3], 0x03BA,
edge_times[4], 0x02BD,
edge_times[5], 0x033B,
edge_times[6], 0x0928,
edge_times[7], 0x035D,
edge_times[8], 0x02BC,
edge_times[9], 0x033C,
edge_times[10], 0x0926,
edge_times[11], 0x035E,
edge_times[12], 0x0927,
edge_times[13], 0x035E,
edge_times[14], 0x0927,
edge_times[15], 0x035D,
edge_times[16], 0x0928,
edge_times[17], 0x035D,
edge_times[18], 0x02BC,
edge_times[19], 0x033B,
edge_times[20], 0x0926,
edge_times[21], 0x035E,
edge_times[22], 0x02BC,
edge_times[23], 0x033C,
edge_times[24], 0x0927,
edge_times[25], 0x035D,
edge_times[26], 0x02BC,
edge_times[27], 0x033B,
edge_times[28], 0x02BD,
edge_times[29], 0x033B,
edge_times[30], 0x02BC,
edge_times[31], 0x033B,
edge_times[32], 0x02BD,
edge_times[33], 0x033B,
edge_times[34], 0x0926,
edge_times[35], 0x035F,
edge_times[36], 0x0927,
edge_times[37], 0x035D,
edge_times[38], 0x0926,
edge_times[39], 0x035E,
edge_times[40], 0x02BC,
edge_times[41], 0x033B,
edge_times[42], 0x0925,
edge_times[43], 0x035F,
edge_times[44], 0x0926,
edge_times[45], 0x035D,
edge_times[46], 0x029F,
edge_times[47], 0x0358,
edge_times[48], 0x02BC,
edge_times[49], 0x033B,
edge_times[50], 0x029E,
edge_times[51], 0x035A,
edge_times[52], 0x029D,
edge_times[53], 0x035A,
edge_times[54], 0x029E,
edge_times[55], 0x035A,
edge_times[56], 0x0927,
edge_times[57], 0x035C,
edge_times[58], 0x02BD,
edge_times[59], 0x033B,
edge_times[60], 0x029D,
edge_times[61], 0x035B,
edge_times[62], 0x0927,
edge_times[63], 0x035D,
edge_times[64], 0x0926,
edge_times[65], 0x035E,
edge_times[66], 0x0926,
edge_times[67], 0x035D,
edge_times[68], 0x0000,
edge_times[69], 0x0000,
